code,tabName,dashboardName
8ee39174-afe8-4b0a-83bc-ade16be51ba4,Availability,AIOps Insights
8ee39174-afe8-4b0a-83bc-ade16be51ba4,AWS,AIOps Insights
8ee39174-afe8-4b0a-83bc-ade16be51ba4,Azure,AIOps Insights
8ee39174-afe8-4b0a-83bc-ade16be51ba4,Database,AIOps Insights
8ee39174-afe8-4b0a-83bc-ade16be51ba4,Hosts,AIOps Insights
91623686D69B462981A9D0E4449D52F2,Availability,AIOps Insights
949a5082-3a94-4d44-9448-d2c2fd3d4141,Availability,AIOps Insights
949a5082-3a94-4d44-9448-d2c2fd3d4141,AWS,AIOps Insights
949a5082-3a94-4d44-9448-d2c2fd3d4141,Azure,AIOps Insights
949a5082-3a94-4d44-9448-d2c2fd3d4141,Database,AIOps Insights
949a5082-3a94-4d44-9448-d2c2fd3d4141,Hosts,AIOps Insights
99ca7034-1ba2-4d88-958c-48272c8ef6a0,Availability,AIOps Insights
a03b35f1-f020-403f-ba5c-a0cd7690fd2f,Availability,AIOps Insights
a03b35f1-f020-403f-ba5c-a0cd7690fd2f,Network,AIOps Insights
a61addc7-b0ae-406f-9e77-c9d602c801e3,Backup,AIOps Insights
a9b522a3-b887-49db-a97a-bb35509f4f41,Backup,AIOps Insights
ac657cd5-49b4-475b-841e-e6f596b5fb98,Availability,AIOps Insights
b0c69a42-819a-4a91-92af-b687c443cf0d,Backup,AIOps Insights
bd8be48a-9dd7-4f2b-8491-968b215cba30,Network,AIOps Insights
c2a8e34d-4d9d-4fc7-9043-d9e768cddf51,Backup,AIOps Insights
c972420f-70fd-4124-82ea-529eba9b2648,Availability,AIOps Insights
c972420f-70fd-4124-82ea-529eba9b2648,AWS,AIOps Insights
c972420f-70fd-4124-82ea-529eba9b2648,Azure,AIOps Insights
c972420f-70fd-4124-82ea-529eba9b2648,Database,AIOps Insights
c972420f-70fd-4124-82ea-529eba9b2648,Hosts,AIOps Insights
d1502782-5feb-48be-b152-07c45c4fbbb4,Backup,AIOps Insights
dfc44e95-dbc9-4e57-a33a-339d7742d88f,Availability,AIOps Insights
e2ff11e2-ed04-4792-bac6-4b7f7c109579,Storage,AIOps Insights
